District,State,Literacy_Rate_pct,Sex_Ratio_Total,Birth_Registration_pct,Electricity_Access_pct,Improved_DrinkingWater_pct,Improved_Sanitation_pct,Clean_Fuel_Cooking_pct,Iodized_Salt_Use_pct,Health_Insurance_Coverage_pct,Women_Literate_pct,Child_Marriage_pct,Teenage_Pregnancy_pct,Hygienic_Menstrual_Protection_pct,Higher_Order_Births_pct,ANC_First_Trimester_pct,ANC_4plus_Visits_pct,Neonatal_Tetanus_Protection_pct,Iron_Folic_100days_pct,Iron_Folic_180days_pct,MCP_Card_Registered_pct,Postnatal_Care_Mother_pct,OOP_Expenditure_Public_Delivery_Rs,Institutional_Births_pct,Institutional_Births_Public_pct,Home_Birth_Skilled_Personnel_pct,Births_Skilled_Personnel_pct,Caesarean_Section_pct,Caesarean_Private_pct,Caesarean_Public_pct,Home_Birth_Facility_Checkup_24hr_pct,Postnatal_Care_Child_pct,Fully_Vaccinated_Card_Recall_pct,Fully_Vaccinated_Card_Only_pct,VitaminA_6to35mo_pct,Vaccinated_Public_Facility_pct,Vaccinated_Private_Facility_pct,ARI_Prevalence_pct,ARI_Fever_Facility_Visit_pct,Breastfed_Within_1hr_pct,Exclusive_Breastfed_6mo_pct,Solid_Food_6to8mo_pct,Adequate_Diet_Breastfed_6to23mo_pct,Adequate_Diet_NonBreastfed_6to23mo_pct,Adequate_Diet_Total_6to23mo_pct,Child_Stunting_pct,Child_Wasting_pct,Child_Severe_Wasting_pct,Child_Underweight_pct,Child_Overweight_pct,Child_Anaemia_6to59mo_pct,Women_NonPregnant_Anaemia_pct,Women_Pregnant_Anaemia_pct,Women_All_Anaemia_pct,Women_15to19_Anaemia_pct,Women_BMI_Below_Normal_pct,Women_HighBloodSugar_Mild_pct,Women_HighBloodSugar_VHigh_pct,Women_Diabetes_or_Medicine_pct,Men_HighBloodSugar_Mild_pct,Men_HighBloodSugar_VHigh_pct,Men_Diabetes_or_Medicine_pct,Women_Hypertension_Mild_pct,Men_Hypertension_Mild_pct,Women_Cervical_Cancer_Screening_pct,Women_Breast_Exam_pct,Women_Oral_Exam_pct
Nadia,West Bengal,74.97,911,53.6,78.11,38.85,67.76,35.49,65.06,35.6,51.47,52.97,50,41.19,55,33.23,46.52,45.7,37.29,9.39,63.74,36.59,2305,64.69,40.75,23.8,77.83,9.74,8.76,6.04,67.29,20.77,56.25,47.12,32.85,65.63,33,7.26,40.15,33.56,46.18,58.79,20.68,8.8,25.61,67.93,15.05,3.84,60,3.28,79.62,77.31,57.93,67.72,69.47,55,9.75,0.91,21.14,13.55,5.95,13,10.2,17.08,7.11,20.45,5.39
East Godavari,Andhra Pradesh,70.99,966,50.55,67.47,73.91,58.57,49.73,75.9,57.25,63.01,54.5,50,48.98,55,30.94,41.29,45.89,13.85,9.97,48.85,64.17,416,62.5,28.33,19.52,55.58,28.14,16.29,4.17,55.2,38.64,62.21,43.69,39.44,68.87,28.33,8.17,32.87,35.73,79.42,58.47,13.02,3,27.77,64.11,21.65,12.14,50.32,5.11,66.86,74.54,78.78,79.77,78.22,55,5.61,2.93,6.97,0.56,4.74,8.99,12.42,9.06,10.39,11.59,12.97
Purbi Champaran,Bihar,55.79,882,37.44,57.43,54.64,46.66,19.71,82.79,25.43,47.73,70,50,35.7,55,39.01,35.49,46.98,32.52,21,38.75,40.39,3058,49.88,10,25.29,47.77,12.5,10,1,42.94,38.29,29.79,26.17,42.78,36.08,57.29,6.15,27.71,29.21,78.77,66.72,24.39,19.37,33,70,17.31,6.15,60,5.61,65.1,69.91,56.54,66.6,68.51,53.59,7.93,5.27,20.16,10.36,0,13.19,15.1,12.03,7.1,7.01,12.11
Purba Medinipur,West Bengal,87.02,991,78.56,73.71,59.49,61.51,35.97,82.32,17.37,60.76,55.95,47.51,43.47,53.68,40.72,43.16,73.85,35.4,36.57,60.58,10,1991,67.9,35.94,22.5,68.78,21.28,13.29,10.36,49.62,25.76,57.28,43.5,41.16,61.16,31.53,8.13,56.17,59.37,43.84,44.33,62.59,24.92,33.79,65.08,15.21,1,60,0,73.03,82.48,52.8,65.11,67.99,55,4.71,6.54,12.73,13.13,6.38,5.81,4.74,18.04,8.83,22.4,8.37
Guntur,Andhra Pradesh,67.4,969,53.61,66.64,48.06,51.06,32.12,84.05,9.04,55.34,65.58,50,40.28,55,33.57,24.54,36.41,40.28,31.48,60.16,34.6,2263,65.76,19.39,16.21,59.65,11,1,9.59,5,30.65,49.1,33.37,78.41,79.49,22.46,8.56,35.06,63.33,41.23,93.51,47.28,39.68,34.81,66.37,20.25,12.9,60,3.45,66.5,85.47,53.04,70.34,68.08,49.89,2.86,0.28,0,4.5,3.15,1.71,3.4,12.96,9.26,15.02,10.1
Haora,West Bengal,83.31,960,64.84,67.34,85.92,70.81,27.33,81.49,5,73.79,60.41,50,56.48,51.3,32.78,55.54,44.17,65.27,50.7,47.24,33.38,2702,67.28,29.08,5.66,66.27,33.98,28.62,10.88,48.11,26.98,95.04,72.8,39.86,65.78,29.86,15.52,42.02,64.04,86.76,79.01,13.02,28.18,35.31,51.85,26.91,8.09,60,4.16,79.16,57.49,51.65,54.55,53.61,45.99,10.66,1.75,3.05,8.51,0.87,8.99,13.04,7.48,16.8,14.9,18.57
Muzaffarpur,Bihar,63.43,989,32.53,63.32,46.77,31.07,60.37,71.92,34.64,58.37,51.75,50,43.25,49.9,40.79,33.78,69.63,45.95,29.88,62.16,28.46,200,57.52,24.64,14.48,49.71,2,11.65,1,51.91,29.84,52.57,61.08,86.52,64.52,38.36,10.26,33.83,45.88,53.15,54.47,25.79,44.9,30.3,63.46,23.3,7.91,52.87,1.94,73.33,76.46,53.25,64.66,65.03,55,0,6.83,10.59,6.51,6.16,2.06,9.23,9.46,10.18,14.31,5.87
Belgaum,Karnataka,73.48,1017,66.46,67.33,51.23,47.94,30.59,71.83,38.98,56.93,53.63,50,36.61,55,46.47,50.98,50.99,60.18,28.29,39.67,42.35,2206,61.14,29.08,29.59,50.78,22.76,13.91,14.81,5,29.6,32.55,18.93,48.32,61.07,35.95,7.16,31.49,48.16,55.06,48.24,21.23,38.47,27.66,70,12.95,8.37,59.17,5.56,78.66,61.36,39.04,54.19,49.46,55,3.6,7.97,0.26,0.12,5.96,10.67,14.32,11.36,19.19,16.92,17.85
Moradabad,Uttar Pradesh,56.77,991,35.18,54.97,63.27,32.01,41.54,63.61,32.37,40.39,56.54,50,51.26,55,27.44,26.01,44.43,26.65,17.01,33.2,38.31,1831,51.26,34.76,19.62,49.04,5.23,1,1.05,48.77,35.79,20.39,13.29,66.78,37.2,56.23,7.6,11.95,34.48,50.46,49.4,26.7,37.19,38.15,65.13,7.33,1,60,2.42,75.75,51.76,34.42,42.38,45.01,55,5.62,1.68,4.52,11.88,7.94,5.32,15.44,16.53,5.56,11.09,7.22
Ghaziabad,Uttar Pradesh,78.07,876,64.15,62.03,69.13,58.44,44.98,99,69.87,71.18,49.3,50,53.63,55,51.52,63.83,48.83,42.32,30.13,62.1,49.98,3300,64.64,43.85,23.6,69.8,12.91,15.92,4.26,9.37,44.97,66.7,44.68,67.42,37.09,60.87,5.15,56.66,54.04,78.79,73.8,36,43.71,35.32,48.42,23.16,3.35,59.8,5.61,85.4,54.25,51.75,51.27,54.78,55,9.43,6.87,1.04,7.14,4.22,5.38,0.75,11.05,17.54,16.38,11.43
Nagpur,Maharashtra,88.39,899,74.07,73.29,63.07,74.18,33.27,78.16,69.56,60.45,57.12,50,62.25,55,26.32,65.05,67.35,36.66,27.63,72.18,65.97,2854,78.28,47.12,16.6,90.02,20.06,22.49,13.8,5,64.11,93.43,65.57,40.04,83.05,27.42,5.81,54.94,52.69,90,49.84,23.45,10.59,9.22,53.37,9.58,4.48,45.41,2.26,77.43,70.19,73.89,69.6,70.9,52.28,2.48,0.29,19.69,4.92,7.58,18.36,5.81,0,12.95,6.86,7.68
Chennai,Tamil Nadu,90.18,925,86.24,85.34,75.78,57.16,49.02,75.3,38.3,75.16,46.97,45.61,67.13,49.85,41.12,57.67,73.22,41.88,21.35,49.09,61.75,736,76.59,47.18,7.28,80.41,20.55,12.51,5.78,58.87,48.95,61.23,52.45,51.44,77.88,21.64,11.64,57.86,57.48,56.26,61.26,16.45,22.49,24.93,54.31,14.78,8.3,49.78,3.52,91.21,76.98,62.43,69.18,67.16,43.43,6.51,3.11,14.49,0.91,5.06,12.37,9.37,17.72,21.88,17.51,8.09
Azamgarh,Uttar Pradesh,70.93,951,45.11,57.2,50.85,25.75,49.32,66.85,9.12,44.33,70,50,41.77,55,36.97,40,54.1,29.34,21.51,38.72,49.45,3336,66.8,41.99,17.14,56.69,20.29,12.1,4.49,16.87,43.07,49.92,43.17,47.94,80.54,22.69,6.02,21.92,39.51,90,39.64,38.88,63.62,5.36,70,20.61,6.84,60,3.47,56.88,63.71,30.27,44.78,48.65,55,0.45,0.57,7.31,9.08,6.04,3.32,4.88,16.87,16.68,10.99,8.02
Lucknow,Uttar Pradesh,77.29,971,32.77,72.8,76.25,49.98,38.55,99,33.67,69.22,55.56,50,58.67,55,28.44,56.6,72.65,27.96,9.31,56.88,48.79,2605,59.15,12.56,7.73,54.82,19.52,12.29,10.09,22.11,35.82,62.68,46.96,65.45,47.19,53.65,5.53,54.8,37.76,45.02,73.12,10.19,3.31,5.12,49.69,28.17,10.9,58.06,6.33,77.52,49.06,45.92,44.9,49.33,53.15,7.76,2.78,16.56,7.61,6.28,10.76,7.64,6.61,18.98,11.46,15.14
Kanpur Nagar,Uttar Pradesh,79.65,921,66.58,62.12,77.39,64.89,60.69,65.12,33,60.64,52.81,50,52.08,55,22.82,52.5,53.51,61.22,28.39,79.2,63.23,807,53.54,29.53,6.96,57.93,11.58,1,1.21,52.81,30.57,49.23,45.13,55.42,59.16,33.81,5.63,62.06,51.1,49.91,73.68,27.27,25.83,20.89,62.95,29.29,8.18,50.6,4.48,44.29,47.66,61.66,51.99,54.98,52.77,13.29,9.73,15.29,9.42,1.01,10.29,3.61,6.2,13.53,12.51,21.31
Ahmadnagar,Maharashtra,79.05,957,82.29,77.08,71.7,60.71,57.75,72.85,31.86,72.34,53.63,50,46.37,55,39.78,50.29,53.75,19.42,5,67.8,43.63,2250,59.41,18.3,34.47,56.83,16.36,9.18,5.15,29.51,53.49,27.95,27.31,43.03,84.17,23.07,5.08,50.74,50.61,67.12,62.23,7.17,36.67,25.46,69.69,19.49,4.81,60,2.08,79.21,27.2,74.27,48.24,50.82,50.24,0,3.84,15.55,9.22,6.13,0.66,7.81,21.11,20.88,13.33,22.28
Krishna,Andhra Pradesh,73.74,920,72.69,57.74,66.55,55.9,53.03,82.99,31.05,61.61,49.38,50,57.35,55,48.89,56.76,55.25,58.31,35.18,49.14,40.76,3131,71.23,43.25,14.96,77.7,18.32,20.48,1.14,31.76,55.48,68,49.7,60.38,39.88,58.88,12.51,55.74,42.22,40.29,67.9,12.69,3.72,21.91,56.59,14.92,5,60,2.46,65.85,60.41,78.66,67.25,72.99,53.38,3.09,3.15,6.2,3.75,5.31,12.74,5.17,11.56,4.97,13.26,10.57
Kolkata,West Bengal,86.31,926,71.83,81.55,88.71,57.62,39.89,85.2,31.93,58.58,47.64,38.29,75.33,53.62,62.86,68.9,65.75,63.11,28.44,36.23,28.92,1107,72.13,22.93,11.1,75.67,19.95,12.12,7.72,31.36,55.94,55.11,29.06,64.79,82.34,11.11,8.57,50.82,46.17,66.88,76.94,33.94,19.46,5.69,57.5,9.39,5.7,60,2.45,79.05,59.39,46.63,54.21,56.54,49.99,9.35,2.31,7.46,0,4.19,15.76,11.72,17.52,17.77,18.09,11.52
Jaunpur,Uttar Pradesh,71.55,894,53.75,68.77,61.5,37.29,21.73,89.5,37.27,67.21,68.35,50,57.33,53.7,32.79,27.9,53.79,46.77,24.66,50.9,55.6,3440,61.55,32.41,39.42,56.15,17.34,6.07,6.34,41.26,40.93,66.95,56.85,95,51.44,46,6.87,24.89,52.78,45.67,67.5,16.85,57.94,36.3,47.02,34.67,14.16,60,3.04,90.19,39.33,63.19,45.38,43.98,55,17.77,3.1,3.52,6.56,5.34,8.89,14.51,8.84,13.57,10.64,6.8
Madhubani,Bihar,58.62,913,57.04,47.88,41.28,46.19,20.97,99,32.29,57.24,65.97,50,50.26,55,41.04,22.57,30.26,20.94,19.79,44.66,34.25,839,41.4,27.15,29.78,42.15,25.3,18.93,12.73,30.93,20.55,38.11,29.94,59.36,46.61,52.36,8.12,35.71,45.93,27.21,76.71,2.48,32.39,18.52,70,16.68,9.73,60,1.11,77.02,62.1,53.99,55.94,58.46,55,8.35,1.57,8.43,6.29,12.65,9.54,12.04,16.93,14.72,14.31,13.25
Sitapur,Uttar Pradesh,61.12,896,41.1,59.08,59.22,34.44,34.62,84.07,49.17,54.01,55.39,50,37.58,51.62,41.25,27.31,47.85,16.57,5,38.96,71.88,1488,52.48,19.92,15.54,45.1,18.93,8.97,10.05,37.05,47.32,50.08,37.74,58.2,61.43,42.32,8.87,18.43,61.27,23.63,47.48,16.33,21.96,32.87,70,24.42,14.73,60,2.84,58.81,61.85,48.08,54.66,55.82,46.15,3.08,4.41,4.94,7.66,0,8.21,22.99,7.46,10.62,15.9,6.26
Bareilly,Uttar Pradesh,58.49,911,53.63,54.46,73.88,62.78,38.28,65.33,52.21,38.62,55.66,50,24.97,55,46.79,17.06,39.28,27.66,12.56,32.44,30.23,1351,41.53,30.54,25.13,44.84,20.01,12.67,9.21,25.94,39.12,57.43,39.34,66.57,41.89,54.71,5.01,22.4,55.13,49.17,70.68,15.04,32.95,18.85,70,20.57,10.89,60,5.74,48.68,32.74,51,45.32,47.3,55,5.41,3.9,3.63,13.07,4.61,12.93,14.69,15.53,5.61,15.33,7.82
Gorakhpur,Uttar Pradesh,70.83,992,63.18,59.98,50.89,55.29,5,74.92,26.79,52.76,53,50,64.48,50.44,34.75,41.75,45.23,47.92,29.33,51.17,43.56,3439,53.2,33.31,17.17,70.74,14.17,2.87,6.54,41.33,63.26,66.8,56.06,39.01,27.86,80,2.44,38.54,34.94,62.52,67.9,9.85,21.93,21.03,53.97,15.04,1.25,57.53,5.65,73.04,50.17,51.19,49.94,55.97,54.23,1.09,2.63,14.66,6.81,7.44,9.75,14.51,15.14,7.29,18.84,12.61
Agra,Uttar Pradesh,71.58,912,69.29,57.36,57.91,44.3,37.83,81.69,70.42,57.01,57.79,50,70.65,55,17.79,50.15,51.85,40.83,26.47,40.68,49.51,1758,57.62,34.74,11.69,60.6,7.48,1,2.32,40.65,25.52,57.16,45.66,23.49,63.37,31.94,13.35,37.25,45.3,30.5,83.03,31.6,53.98,32.2,69.55,14.7,5.03,60,0,60.71,76.14,68.8,72.01,70.8,28.41,9.22,2.36,12.36,9.77,1.26,9.95,9.59,0.61,12.83,11.47,12.54
Gaya,Bihar,63.67,1055,80.35,43.56,60.55,38.46,35.57,99,25.4,43.49,70,50,60,55,35.86,37.94,36.77,24.31,10.59,63.29,24.98,1153,57.68,37.31,25.7,42.54,19.54,16.39,9.28,69.16,45.37,52.22,37.27,51.76,71.62,31.44,11.95,37.3,30,58.21,65.46,6.44,16.13,22.81,66.21,7.94,5.81,60,0,74.95,45.5,27.53,36.25,38.77,45.01,10.18,4.55,4.59,8.51,6.11,6.95,8.47,13.74,10.16,11.38,7.11
Solapur,Maharashtra,77.02,970,66.69,71.77,64.52,52.98,37.05,61.23,12.64,74.01,40.38,50,50.56,49.34,30.2,39.8,43.71,57.29,40.67,69.08,50.51,2601,69.88,35.56,16.11,83.95,30.07,20.12,6.08,28.14,48.95,64.8,38.8,79.44,83.88,6.25,9.51,15.84,31.27,58.27,63.54,17.94,22.68,29.05,39.25,27.98,10.83,60,1.81,57.4,55.26,57.49,50.9,48.43,49.26,11.63,1.81,13.73,1.46,5.91,21.21,16.37,8.69,18.15,16.64,11.17
Visakhapatnam,Andhra Pradesh,66.91,957,50.09,49.27,48.67,44.44,54.52,92.43,52.62,53.03,56.66,50,35.29,55,28.12,53.66,22.34,58.67,39.93,53.42,40.56,2795,61.51,35.05,20.91,47.75,22.44,10.71,1,31.69,32.7,57.37,51.57,82.67,72.93,26.45,11.68,31.25,67.06,51.98,56.64,26.6,9.11,30.33,70,18.04,2.36,55.76,0,51.06,57.41,74.63,68,67.73,55,4.68,3.28,10.54,1.84,0.23,9.7,8.73,19.56,16.81,11.26,7.7
